   operations |         SkipList          |         HashTable         |       BinaryTree          |       RedBlackTree        |         LinkList          |
iter.   elems |       TIME   |   MEMORY   |       TIME   |   MEMORY   |       TIME   |   MEMORY   |       TIME   |   MEMORY   |       TIME   |   MEMORY   |
  1         2 |   0.00000000 |       88.0 |   0.00000000 |     1072.0 |   0.00000000 |       48.0 |   0.00000000 |       64.0 |   0.00000000 |       32.0 |
  1         4 |   0.00000000 |      184.0 |   0.00000000 |     1104.0 |   0.00000000 |       96.0 |   0.00000000 |      128.0 |   0.00000000 |       32.0 |
  1         8 |   0.00000000 |      360.0 |   0.00000000 |     1168.0 |   0.00000000 |      192.0 |   0.00000000 |      256.0 |   0.00000000 |       96.0 |
  1        16 |   0.00000000 |      648.0 |   0.00000000 |     1296.0 |   0.00000000 |      384.0 |   0.00000000 |      512.0 |   0.00000000 |      240.0 |
  1        32 |   0.00000000 |     1296.0 |   0.00000000 |     1552.0 |   0.00000000 |      768.0 |   0.00000000 |     1024.0 |   0.00000000 |      496.0 |
  1        64 |   0.00000000 |     2600.0 |   0.00000000 |     2064.0 |   0.00000000 |     1536.0 |   0.00000000 |     2048.0 |   0.00000000 |      976.0 |
  1       128 |   0.00000000 |     5016.0 |   0.00000000 |     3088.0 |   0.00100000 |     3072.0 |   0.00000000 |     4096.0 |   0.00000000 |     2032.0 |
  1       256 |   0.00000000 |    10248.0 |   0.00000000 |     5136.0 |   0.00000000 |     6144.0 |   0.00000000 |     8192.0 |   0.00000000 |     4080.0 |
  1       512 |   0.00000000 |    20304.0 |   0.00000000 |     9232.0 |   0.00000000 |    12288.0 |   0.00000000 |    16384.0 |   0.00000000 |     8176.0 |
  1      1024 |   0.00100000 |    41184.0 |   0.00100000 |    18432.0 |   0.00000000 |    24576.0 |   0.00000000 |    32768.0 |   0.00100000 |    16368.0 |
  1      2048 |   0.00100000 |    81544.0 |   0.00000000 |    36848.0 |   0.00100000 |    49152.0 |   0.00100000 |    65536.0 |   0.00400000 |    32752.0 |
  1      4096 |   0.00200000 |   163136.0 |   0.00100000 |    73696.0 |   0.00100000 |    98304.0 |   0.00200000 |   131072.0 |   0.01200000 |    65520.0 |
  1      8192 |   0.00400000 |   328024.0 |   0.00200000 |   147456.0 |   0.00200000 |   196608.0 |   0.00300000 |   262144.0 |   0.01500000 |   131056.0 |
  1     16384 |   0.01100000 |   656072.0 |   0.00300000 |   294896.0 |   0.00500000 |   393216.0 |   0.00700000 |   524288.0 |   0.20200000 |   262112.0 |
  1     32768 |   0.02400000 |  1314136.0 |   0.00600000 |   589792.0 |   0.01000000 |   786432.0 |   0.01600000 |  1048576.0 |   0.26300000 |   524272.0 |
  1     65536 |   0.03900000 |  2619544.0 |   0.01700000 |  1179632.0 |   2.04100000 |  1572864.0 |   0.02700000 |  2097152.0 |   8.15700000 |  1048544.0 |
  1    131072 |   0.06800000 |  5246872.0 |   0.04100000 |  2359280.0 |  26.69300000 |  3145728.0 |   0.04900000 |  4194304.0 |  61.83300000 |  2097136.0 |
  1    262144 |   0.13300000 | 10489992.0 |   0.08700000 |  4718592.0 | 191.34100000 |  6291456.0 |   0.10400000 |  8388608.0 | 313.70700000 |  4194288.0 |
  1    524288 |   0.26500000 | 20964328.0 |   0.21100000 |  9437184.0 | 1527.7800000 | 12582912.0 |   0.22200000 | 16777216.0 | 2018.4630000 |  8388576.0 |
  1   1048576 |   0.52600000 | 41949640.0 |   0.50500000 | 18874368.0 |   -TIMEOUT-  | -TIMEOUT-  |   0.48100000 | 33554432.0 |   -TIMEOUT-  | -TIMEOUT-  |
  1   2097152 |   1.06800000 | 83904056.0 |   0.97900000 | 37748736.0 |   -TIMEOUT-  | -TIMEOUT-  |   0.94900000 | 67108864.0 |   -TIMEOUT-  | -TIMEOUT-  |
  1   4194304 |   2.16700000 | 167741560. |   1.98400000 | 75497472.0 |   -TIMEOUT-  | -TIMEOUT-  |   1.99000000 | 134217728. |   -TIMEOUT-  | -TIMEOUT-  |
  1   8388608 |   4.31100000 | 335552560. |   4.09800000 | 150994944. |   -TIMEOUT-  | -TIMEOUT-  |   4.25900000 | 268435456. |   -TIMEOUT-  | -TIMEOUT-  |
  1  16777216 |   8.79200000 | 671121592. |   7.97300000 | 301989888. |   -TIMEOUT-  | -TIMEOUT-  |   8.89700000 | 536870912. |   -TIMEOUT-  | -TIMEOUT-  |
  1  33554432 |  18.21100000 | 1342201120 |  16.34300000 | 603979776. |   -TIMEOUT-  | -TIMEOUT-  |  21.34000000 | 1073741824 |   -TIMEOUT-  | -TIMEOUT-  |
  1  67108864 |  41.47000000 | 2684341640 |  35.38900000 | 1207959504 |   -TIMEOUT-  | -TIMEOUT-  |  54.40600000 | 2147483648 |   -TIMEOUT-  | -TIMEOUT-  |
  1 134217728 |  94.59000000 | 5368564248 |  89.71900000 | 2415919104 |   -TIMEOUT-  | -TIMEOUT-  | 150.98700000 | 4294967296 |   -TIMEOUT-  | -TIMEOUT-  |
