elem		skiplist	linklist	tree		rbtree	hashtable
2		0.009		0.002		0.003		0.002		0.005
4		0.016		0.004		0.006		0.006		0.016
8		0.028		0.008		0.010		0.010		0.023
16		0.055		0.017		0.021		0.021		0.029
32		0.117		0.048		0.050		0.054		0.068
64		0.228		0.096		0.093		0.114		0.115
128		0.486		0.286		0.222		0.243		0.234
256		0.995		0.898		0.436		0.519		0.484
512		2.052		3.576		0.946		1.083		0.973
1024		4.060		20.301	1.955		2.228		2.567
2048		8.186		85.643	4.194		4.573		5.930
4096		16.121	340.616	8.896		9.749		12.966
8192		32.310	1375.928	20.218	20.668	26.297
16384		65.748	5601.32	46.455	43.807	52.140
32768		131.151	21765.40	111.791	93.318	105.629
65536		273.893	95733.6	2124.687	202.261	211.775
131072	570.276	0.0		0.0		444.620	464.442
262144	1189.503	0.0		0.0		1013.92	1086.389
524288	2372.10	0.0		0.0		2191.19	2330.10
1048576	4843.64	0.0		0.0		4607.14	5269.62
2097152	9998.07	0.0		0.0		9667.77	9458.14
