elem		sequence	memory	random
2		0.002		64		0.003
4		0.006		128		0.004
8		0.010		256		0.011
16		0.021		512		0.022
32		0.054		1024		0.060
64		0.114		2048		0.134
128		0.243		4096		0.287
256		0.519		8192		0.641
512		1.083		16384		1.405
1024		2.228		32768		2.969
2048		4.573		65536		6.490
4096		9.749		131072	13.692
8192		20.668	262144	30.813
16384		43.807	524288	70.857
32768		93.318	1048576	156.509
65536		202.261	2097152	265.845
131072	444.620	4194304	502.540
262144	1013.92	8388608	1088.37
524288	2191.19	16777216	2238.64
1048576	4607.14	33554432	4612.69
2097152	9667.77	67108864	9681.38
