elem		sequence2	memory2	sequence3	memory3	sequence4	memory4
2		0.009		88.0		0.009		88.0		0.010		88.0
4		0.016		172.1		0.014		152.0		0.016		152.0
8		0.028		337.9		0.027		306.6		0.026		302.0
16		0.055		664.7		0.054		605.8		0.052		574.0
32		0.117		1312.5	0.113		1174.3	0.112		1141.8
64		0.228		2600.0	0.216		2334.6	0.213		2244.7
128		0.486		5167.7	0.462		4627.9	0.446		4478.1
256		0.995		10294.6	0.970		9239.5	0.922		8908.8
512		2.052		20549.4	1.952		18454.8	1.892		17796.5
1024		4.060		41035.7	3.894		36860.9	3.746		35540.7
2048		8.186		82006.6	7.664		73656.1	7.646		71053.6
4096		16.121	163930.7	16.000	147273.3	15.345	142044.9
8192		32.310	327767.0	31.219	294506.9	30.141	284054.0
16384		65.748	655461.2	63.517	588930.2	61.676	568034.2
32768		131.151	1310830.5	128.87	1177804.8	126.847	1136017.9
65536		273.893	2621530.3	263.381	2355403.6	266.262	2271987.5
131072	570.276	5243071.3	541.001	4710822.1	556.456	4543899.7
262144	1189.503	10485989.9	1200.376	9421928.8	1233.451	9087728.0
524288	2372.10	20972379.5	2355.75	18843321.4	
1048576	4843.64	41943359.2	4818.32	37686348.6	
2097152	9998.07	83885761.1	10468.73	75371976.0	
