   operations |         SkipList          |         HashTable         |       BinaryTree          |         LinkList          |
   it   elems |       TIME   |   MEMORY   |       TIME   |   MEMORY   |       TIME   |   MEMORY   |       TIME   |   MEMORY   |
100         2 |   0.00219700 |    1884160 |   0.00217000 |    1884160 |   0.00190600 |    1884160 |   0.00002500 |    1884160 | 
100         4 |   0.00208000 |    1884160 |   0.00230200 |    1884160 |   0.00217100 |    1884160 |   0.00005100 |    1884160 | 
100         8 |   0.00202300 |    1884160 |   0.00107700 |    1884160 |   0.00181600 |    1884160 |   0.00010500 |    1884160 | 
100        16 |   0.00237200 |    1884160 |   0.00234600 |    1884160 |   0.00195900 |    1884160 |   0.00025200 |    1884160 | 
100        32 |   0.00202200 |    1884160 |   0.00126400 |    1884160 |   0.00110800 |    1884160 |   0.00029100 |    1884160 | 
100        64 |   0.00299100 |    1888256 |   0.00186100 |    1888256 |   0.00180300 |    1888256 |   0.00115500 |    1888256 | 
100       128 |   0.00366800 |    1888256 |   0.00240900 |    1888256 |   0.00237900 |    1888256 |   0.00288700 |    1888256 | 
100       256 |   0.00645200 |    1900544 |   0.00491400 |    1900544 |   0.00448100 |    1900544 |   0.00952900 |    1900544 | 
100       512 |   0.01191800 |    1912832 |   0.00898800 |    1912832 |   0.00969400 |    1912832 |   0.03380800 |    1912832 | 
100      1024 |   0.02409200 |    1953792 |   0.01783500 |    1953792 |   0.02432200 |    1953792 |   0.13844700 |    1953792 | 
100      2048 |   0.05140400 |    2019328 |   0.03523800 |    2019328 |   0.06298200 |    2019328 |   0.91280000 |    2019328 | 
100      4096 |   0.11270600 |    2187264 |   0.07028300 |    2187264 |   0.17110800 |    2183168 |   4.25768400 |    2183168 | 
100      8192 |   0.26426300 |    2494464 |   0.14163000 |    2494464 |   0.47452000 |    2187264 |  21.21743300 |    2187264 | 
100     16384 |   0.66557600 |    3219456 |   0.29356600 |    2486272 |   1.46714600 |    2355200 | 124.36274900 |    2355200 | 
100     32768 |   2.24204600 |    4534272 |   0.86807600 |    3031040 |   5.27644800 |    2682880 | 702.61073100 |    2682880 | 
100     65536 |   7.92975900 |    7684096 |   2.05542900 |    4431872 |  16.72091600 |    3354624 |   -TIMEOUT-  | -TIMEOUT - | 
100    131072 |  16.12817800 |   13484032 |   4.63054300 |    7135232 |  51.48949600 |    4665344 |   -TIMEOUT-  | -TIMEOUT - | 
100    262144 |  47.76357200 |   27119616 |  15.32432300 |   12230656 | 196.25442500 |    7303168 |   -TIMEOUT-  | -TIMEOUT - | 
100    524288 | 123.83483000 |   52326400 |  34.04357800 |   22810624 | 568.47936000 |   12595200 |   -TIMEOUT-  | -TIMEOUT - | 
100   1048576 | 243.05200800 |  111136768 |  58.12493900 |   43868160 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100   2097152 | 515.21643900 |  220241920 | 112.99204900 |   85803008 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100   4194304 |   -TIMEOUT-  | -TIMEOUT - | 234.36447800 |  169705472 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100   8388608 |   -TIMEOUT-  | -TIMEOUT - | 449.60938000 |  337481728 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100  16777216 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100  33554432 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100  67108864 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100 134217728 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100 268435456 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100 536870912 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
100 1073741824 |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - |   -TIMEOUT-  | -TIMEOUT - | 
