iter.	elems	SkipList	HashTable	BinaryTree	LinkList
100	2	0.000077	0.000022	0.000010	0.000010
100	4	0.000068	0.000038	0.000031	0.000020
100	8	0.000130	0.000076	0.000046	0.000047
100	16	0.000264	0.000149	0.000102	0.000111
100	32	0.000557	0.000296	0.000260	0.000397
100	64	0.001279	0.000561	0.000569	0.000805
100	128	0.002566	0.001804	0.001397	0.002627
100	256	0.005490	0.002737	0.003503	0.009207
100	512	0.011128	0.005578	0.008901	0.034335
100	1024	0.023531	0.011041	0.023275	0.140722
100	2048	0.051124	0.021673	0.062660	0.914540
100	4096	0.115517	0.044138	0.169533	4.273412
100	8192	0.269469	0.098163	0.474345	18.871791
100	16384	0.673372	0.209952	1.359319	116.072069
100	32768	1.679076	0.461984	4.487561	549.609768
100	65536	5.601364	1.074032	15.293324	2267.827567
100	131072	10.996948	2.552866	42.846993	-TIMEOUT-
100	262144	30.545702	7.006505	146.411673	-TIMEOUT-
100	524288	74.694783	17.927206	509.061353	-TIMEOUT-
100	1048576	182.255405	42.058378	921.193245	-TIMEOUT-
100	2097152	409.600193	92.601669	3340.095368	-TIMEOUT-
100	4194304	981.369167	195.727431	-TIMEOUT-	-TIMEOUT-
100	8388608	2156.932129	408.775995	-TIMEOUT-	-TIMEOUT-
100	16777216	-TIMEOUT-	851.994525	-TIMEOUT-	-TIMEOUT-
100	33554432	-TIMEOUT-	1810.632146	-TIMEOUT-	-TIMEOUT-
100	67108864	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-
100	134217728	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-
100	268435456	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-
100	536870912	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-
100	1073741824	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-
100	-2147483648	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-
100	0	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-	-TIMEOUT-
